 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  1   1   2   0   d 160   0   d 157  85.968000   1.020840   9.612600   1.000021  32.031400   1.023702  73.382000
  1   1   3   0   F 432   0   F 432 180.675400   1.000000  15.449800   1.000000  50.619000   1.000000 141.395600
  1   1   4   0   F 432   0   F 432  96.043600   1.000000   6.269400   1.000000  17.898400   1.000000  87.163400
  1   1   5   0   F 432   0   F 432  54.437400   1.000000   3.224200   1.000000   8.518200   1.000000  62.891200
  1   1   6   1   F 192   1   F 192  33.267600   1.000000   7.478600   1.000000   9.713000   1.000000  39.998000
  1   1   7   1   F 192   1   F 192  20.800800   1.000000   4.455400   1.000000   5.898200   1.000000  31.450400
  1   1   8   1   F 192   1   F 192  12.228400   1.000000   3.084600   1.000000   2.062400   1.000000  24.793600
  1   1   9   1   b 164   1   F 192   5.835600   0.856501   1.510000   0.936291   1.090200   0.955971  15.669400
  1   2   0   0   g 307   0   g 294 160.228800   1.044303  16.802200   1.050279  56.799400   1.044173 132.837400
  1   2   1   0   d 160   0   d 157  85.873000   1.020926   9.573400   1.000021  31.972200   1.023721  73.300600
  1   2   2   0   g 307   0   g 293 158.207400   1.047852  16.955800   1.053280  56.574000   1.047729 132.075200
  1   2   3   0   F 432   0   F 432 180.745400   1.000000  15.579600   1.000000  50.669000   1.000000 141.497800
  1   2   4   0   F 432   0   F 432 104.570400   1.000000   6.995800   1.000000  20.314600   1.000000  92.082400
  1   2   5   0   F 432   0   F 432  61.157200   1.000000   3.633200   1.000000   9.814200   1.000000  66.841600
  1   2   6   1   F 192   1   F 192  39.219600   1.000000   5.066400   1.000000  11.365000   1.000000  42.133000
  1   2   7   1   F 192   1   F 192  23.561400   1.000000   5.166000   1.000000   6.625200   1.000000  33.327600
  1   2   8   1   F 192   1   F 192  14.816600   1.000000   3.584400   1.000000   3.197600   1.000000  27.080200
  1   2   9   1   L 226   1   F 192   8.560000   1.177243   2.175600   1.164460   1.563200   1.139841  24.635600
  1   3   0   0   F 432   0   F 432 141.344600   1.000000  10.600400   1.000000  32.866200   1.000000 115.260000
  1   3   1   0   F 432   0   F 432 180.498000   1.000000  15.489600   1.000000  50.500800   1.000000 141.311000
  1   3   2   0   F 432   0   F 432 180.545000   1.000000  15.391400   1.000000  50.645800   1.000000 141.346600
  1   3   3   0   F 432   0   F 432 141.474600   1.000000  10.767400   1.000000  33.022600   1.000000 115.469200
  1   3   4   0   F 432   0   F 432  96.017200   1.000000   6.235000   1.000000  17.883200   1.000000  87.149600
  1   3   5   0   F 432   0   F 432  61.519600   1.000000   3.611400   1.000000   9.837200   1.000000  67.007800
  1   3   6   1   F 192   1   F 192  41.245600   1.000000   5.364200   1.000000  11.921000   1.000000  43.395800
  1   3   7   1   F 192   1   F 192  25.578400   1.000000   5.642000   1.000000   7.302600   1.000000  34.751200
  1   3   8   1   F 192   1   F 192  16.356800   1.000000   3.806000   1.000000   3.915400   1.000000  28.242200
  1   3   9   1   F 192   1   F 192   9.864600   1.000000   2.545000   1.000000   1.723200   1.000000  22.706800
  1   3  10   1   a 100   1   a 142   3.163200   0.709345   0.792800   0.754541   0.576000   0.780556   9.602400
  1   4   0   0   F 432   0   F 432  75.736400   1.000000   4.688800   1.000000  12.896200   1.000000  75.477000
  1   4   1   0   F 432   0   F 432  95.748200   1.000000   6.241400   1.000000  17.902200   1.000000  87.007000
  1   4   2   0   F 432   0   F 432 104.444200   1.000000   6.969600   1.000000  20.396800   1.000000  92.040000
  1   4   3   0   F 432   0   F 432  95.855000   1.000000   6.299400   1.000000  17.902400   1.000000  87.107000
  1   4   4   0   F 432   0   F 432  75.722200   1.000000   4.632600   1.000000  12.978800   1.000000  75.449200
  1   4   5   0   F 432   0   F 432  54.365600   1.000000   3.146800   1.000000   8.550600   1.000000  62.800800
  1   4   6   1   F 192   1   F 192  39.214600   1.000000   5.140600   1.000000  11.160800   1.000000  42.127600
