 l  u  v  type  shape  cells  cmssw_type  cmssw_shape  cmssw_cells  <nHitsTotal>  corrFactorTotal  <nHistsToA>  corrFactorToA  <nHitsBXM1>  corrFactorBXM1  <n32bWords>
  1   1   2   0   d 160   0   g 162  98.491400   0.989780  10.499400   1.000000  38.263200   0.989980  79.920600
  1   1   3   0   F 432   0   F 432 168.708800   1.000000  13.540200   1.000000  43.954400   1.000000 133.057400
  1   1   4   0   F 432   0   F 432  89.034000   1.000000   5.657400   1.000000  15.769400   1.000000  83.117000
  1   1   5   1   F 192   1   F 192  51.867400   1.000000   6.985800   1.000000  14.902000   1.000000  50.194400
  1   1   6   1   F 192   1   F 192  31.456000   1.000000   3.906200   1.000000   8.835400   1.000000  37.154200
  1   1   7   1   F 192   1   F 192  19.223200   1.000000   2.388400   1.000000   5.182000   1.000000  29.430800
  1   1   8   1   F 192   1   F 192  11.609400   1.000000   2.907600   1.000000   1.899800   1.000000  24.262400
  1   1   9   1   b 164   1   F 164   5.779000   1.000000   1.486800   1.000000   1.062400   1.000000  16.679400
  1   2   0   0   g 307   0   a 288 160.427000   1.065975  15.496800   1.068582  57.473800   1.065619 134.717400
  1   2   1   0   d 160   0   g 162  98.299400   0.989784  10.453000   1.000000  38.220600   0.990079  79.777800
  1   2   2   0   g 307   0   a 300 169.422600   1.023424  16.632400   1.010137  61.647400   1.022454 136.302600
  1   2   3   0   F 432   0   F 432 168.470000   1.000000  13.464400   1.000000  43.853600   1.000000 132.919600
  1   2   4   0   F 432   0   F 432  96.820600   1.000000   6.209400   1.000000  17.888400   1.000000  87.550200
  1   2   5   0   F 432   0   F 432  57.033200   1.000000   3.281600   1.000000   8.781800   1.000000  64.301600
  1   2   6   1   F 192   1   F 192  35.456600   1.000000   4.501800   1.000000  10.048200   1.000000  39.671600
  1   2   7   1   F 192   1   F 192  22.097600   1.000000   2.794400   1.000000   5.931800   1.000000  31.256200
  1   2   8   1   F 192   1   F 192  13.003000   1.000000   3.200000   1.000000   2.180800   1.000000  25.431800
  1   2   9   1   L 226   1   F 192   8.511800   1.177260   2.137400   1.166557   1.484800   1.139143  24.618800
  1   3   0   0   F 432   0   F 432 130.951400   1.000000   9.354000   1.000000  28.432800   1.000000 108.242400
